year,name,dashboardKey,URLs,description,complexity,ownership,impact
2017,SMZDM UI Clone Demo,2017::SMZDM UI Clone Demo,"[""https://www.hrjlhy.com/smzdm.html""]","A desktop e-commerce homepage clone used to practice dense navigation, ranking blocks, promotional modules, and pixel-level frontend layout outside a production team.",48,96,30
2017,Personal Portfolio v1.0,2017::Personal Portfolio v1.0,"[""https://www.hrjlhy.com/index_old.html""]","An early personal portfolio site that organized my web, GIS, education, and work history into a public-facing Bootstrap-style career page.",52,100,58
2017,Smart Insurance Marketing System (mobile),2017::Smart Insurance Marketing System (mobile),"[""https://www.hrjlhy.com/zhyx/index.html"", ""https://www.hrjlhy.com/zhyx/daily_form.html"", ""https://www.hrjlhy.com/zhyx/form_integrate.html"", ""https://www.hrjlhy.com/zhyx/form_personnel.html"", ""https://www.hrjlhy.com/zhyx/tags_add.html"", ""https://www.hrjlhy.com/zhyx/fail.html"", ""https://www.hrjlhy.com/zhyx/myClient_s.html"", ""https://www.hrjlhy.com/zhyx/news.html"", ""https://www.hrjlhy.com/zhyx/orderdetails.html"", ""https://www.hrjlhy.com/zhyx/phoneBook.html"", ""https://www.hrjlhy.com/zhyx/questionnaire.html"", ""https://www.hrjlhy.com/zhyx/touchTrack.html""]","A mobile agent-facing insurance marketing system with customer tracking, questionnaires, tags, orders, phone-book, and touch-record pages, where my contribution was mainly frontend implementation within a larger product team.",72,48,82
2017,Insurance Content Publishing Platform (mobile),2017::Insurance Content Publishing Platform (mobile),"[""https://www.hrjlhy.com/Content%20Marketing/html/views/my.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/essay.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/public.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/share.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/detail.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit_b.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit_c.html""]","A mobile content-marketing platform for insurance agents to draft, edit, publish, preview, and share articles, delivered primarily as frontend page flows in a team-built platform.",66,46,74
2017,Hongkang Life Insurance Materials (mobile),2017::Hongkang Life Insurance Materials (mobile),"[""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(1).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(2).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(3).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(4).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(5).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(6).html""]","A set of mobile insurance-material pages for presenting long policy documents and product text clearly in WeChat-like mobile browsing contexts, with my work focused on stable frontend presentation.",42,42,56
2018,Huaxia Insurance Application Portal (mobile),2018::Huaxia Insurance Application Portal (mobile),"[""https://www.hrjlhy.com/Huaxia%20Insure/inform.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/pay_finish.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/customerinfo.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/complete.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/confirminfo.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/confirminfo_other.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/plan.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/tranfer_fee.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/tranfer_fee_err.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/add_bank_card.html""]","A mobile insurance application portal covering customer information, plan confirmation, bank-card entry, payment, transfer-fee states, and error pages, implemented as frontend screens for a broader transactional system.",73,50,84
2018,Micro Class Agent Training Platform (mobile),2018::Micro Class Agent Training Platform (mobile),"[""https://www.hrjlhy.com/Micro%20Class/views/group_manage/add_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/cut_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/group_manage.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/group_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/new_group.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/revise_meet.html"", ""https://www.hrjlhy.com/Micro%20Class/views/marketing_zone/article_increase.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting_data.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting_list.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/meetinglist.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/meetingsum.html"", ""https://www.hrjlhy.com/Micro%20Class/views/mine/member_manage.html"", ""https://www.hrjlhy.com/Micro%20Class/views/mine/mine.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/course_details.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/information.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/school.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/bindfail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/bindsuccess.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/enterprise.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/fail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/signup.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/success.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/success_next.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/examfail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/examsuccess.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/schedule.html""]","A large mobile training platform for insurance agents with meetings, group management, exams, schedules, member lists, and learning pages, where I owned significant frontend delivery while backend/testing/design were handled by others.",82,54,88
2018,Love & Peace Life Insurance Portal,2018::Love & Peace Life Insurance Portal,"[""https://www.hrjlhy.com/Love&Peace%20Life%20Insurance/index.html""]","A branded life-insurance campaign portal focused on product storytelling and trust-building, representing a smaller frontend marketing deliverable within an insurance web project set.",45,42,54
2018,Windows 10 UI Clone Demo,2018::Windows 10 UI Clone Demo,"[""https://www.hrjlhy.com/win10.html""]","A browser-based Windows 10 UI clone created as a personal frontend experiment in desktop-style layout, icons, panels, and interaction polish.",54,96,34
2019,Insurance Lottery Campaign (mobile),2019::Insurance Lottery Campaign (mobile),"[""https://www.hrjlhy.com/Lottery%20turntable/turntable_draw.html""]","A mobile insurance lottery campaign with turntable drawing, points, remaining chances, prize records, rules, winning dialogs, and address collection, implemented mainly as promotional frontend logic.",62,50,68
2019,"""Along with Love"" Campaign (mobile)","2019::""Along with Love"" Campaign (mobile)","[""https://www.hrjlhy.com/Along%20with%20Love/withLove.html""]","A mobile insurance campaign page presenting live sales-style counters and underwriting broadcast content, designed as a lightweight frontend promotional experience.",50,47,60
2019,Health Food Story Page,2019::Health Food Story Page,"[""https://www.hrjlhy.com/homework/190528/story.html""]","A long-form editorial health-food story page with article navigation, nutrition sections, and responsive reading layout, built as an independent frontend content exercise.",43,88,42
2019,Huaxia Online Insurance Website,2019::Huaxia Online Insurance Website,"[""https://www.hrjlhy.com/Huaxia%20Online/html/index.html"", ""https://www.hrjlhy.com/Huaxia%20Online/html/contact.html"", ""https://www.hrjlhy.com/Huaxia%20Online/html/information.html"", ""https://www.hrjlhy.com/Huaxia%20Online/html/introduct.html"", ""https://www.hrjlhy.com/Huaxia%20Online/html/organise.html""]","A multi-section Huaxia Online insurance website with product showcase, QR consultation, testimonials, agent profiles, and corporate information, delivered mostly as frontend site implementation.",65,50,73
2019,HR Association Sign-In Pages,2019::HR Association Sign-In Pages,"[""https://www.hrjlhy.com/Beijing%20Human%20Resource%20Service%20Industry%20Association/sign_in(1).html"", ""https://www.hrjlhy.com/Beijing%20Human%20Resource%20Service%20Industry%20Association/sign_in(2).html"", ""https://www.hrjlhy.com/Beijing%20Human%20Resource%20Service%20Industry%20Association/sign_in(3).html"", ""https://www.hrjlhy.com/Beijing%20Human%20Resource%20Service%20Industry%20Association/sign_in(4).html""]","A set of sign-in and registration pages for a human-resource association workflow, focused on practical form states and event-style frontend user entry.",48,46,58
2019,Sales Support System Interface,2019::Sales Support System Interface,"[""https://www.hrjlhy.com/Sales%20Support%20System/system.html""]","An internal sales-support interface with user import, password management, branch filtering, and query controls, where my role centered on frontend UI construction rather than full backend ownership.",56,48,62
2020,Hunan Insurance Agent Portal (mobile),2020::Hunan Insurance Agent Portal (mobile),"[""https://www.hrjlhy.com/Hunan/invitation.html"", ""https://www.hrjlhy.com/Hunan/questionnaire.html"", ""https://www.hrjlhy.com/Hunan/reportindex.html"", ""https://www.hrjlhy.com/Hunan/sheet.html"", ""https://www.hrjlhy.com/Hunan/thanks.html""]","A localized mobile insurance-agent portal with invitation, approval, identity, agent information, and agent-list pages, implemented as frontend screens for an existing business workflow.",60,48,70
2020,Fullgold Bonus Claim Pages (mobile),2020::Fullgold Bonus Claim Pages (mobile),"[""https://www.hrjlhy.com/fullgold_receive/identity_verification_fullgold.html"", ""https://www.hrjlhy.com/fullgold_receive/receive_verification_fullgold.html""]","A compact mobile bonus-claim flow with identity verification and success states, focused on clear frontend guidance for a narrow insurance service task.",44,44,56
2020,Dragon Summit Event Registration (mobile),2020::Dragon Summit Event Registration (mobile),"[""https://www.hrjlhy.com/Dragon%20Summit/summit_personal.html""]","A mobile event-registration page for the Dragon Summit campaign, turning simple signup requirements into a clean frontend form and confirmation experience.",38,43,48
2020,Aviva-Cofco Life Insurance Notifications,2020::Aviva-Cofco Life Insurance Notifications,"[""https://www.hrjlhy.com/Aviva-Cofco%20Life%20Insurance/notification1.html"", ""https://www.hrjlhy.com/Aviva-Cofco%20Life%20Insurance/notification2.html"", ""https://www.hrjlhy.com/Aviva-Cofco%20Life%20Insurance/notification3.html""]","A set of notification and policy-communication pages for Aviva-Cofco Life users, focused on readable branded frontend delivery for customer updates.",40,42,52
2020,Huaxia Premium Product Showcase,2020::Huaxia Premium Product Showcase,"[""https://www.hrjlhy.com/Huaxia%20Premium%20Big%20Show/index.html""]","A premium insurance product showcase page using campaign visuals and structured copy to introduce product value, delivered as a polished frontend marketing page.",46,45,55
2020,<Duolingo English Proficiency Report>,2020::<Duolingo English Proficiency Report>,"[""https://www.hrjlhy.com/new_080725/Duolingo English Test.pdf""]",An English proficiency credential included to support my international profile and communication readiness rather than to represent a software build.,10,100,38
2021,Todo List Web App (mobile),2021::Todo List Web App (mobile),"[""https://www.hrjlhy.com/7-26-interview/""]","A solo mobile todo web app used to practice app-like task creation, completion states, and compact interaction logic during my transition toward full-stack study.",42,100,40
2021,<TOEFL English Score Report>,2021::<TOEFL English Score Report>,"[""https://www.hrjlhy.com/new_080725/ETOEFL Candidate Details.pdf""]","A TOEFL score report included as supporting evidence for U.S.-based study, relocation, and professional communication readiness.",10,100,42
2021,<Impact of Mask-Wearing on Scarlet Fever in Hong Kong: A Pre- and Post-COVID Study>,2021::<Impact of Mask-Wearing on Scarlet Fever in Hong Kong: A Pre- and Post-COVID Study>,"[""https://www.hrjlhy.com/new_080725/A perspective of mask wearing before and after the outbreak of COVID-19 and its effect on Scarlet Fever , Hong Kong.pdf""]","A public-health analytics study examining how mask-wearing related to scarlet fever trends in Hong Kong, connecting my AI/data analytics training with research communication.",72,88,72
2021,<Big Data Group Project Report>,2021::<Big Data Group Project Report>,"[""https://www.hrjlhy.com/new_080725/Hong Kong Baptist University COMP 7950 Group Project (2021) Team 2.pdf""]","A collaborative big-data analytics report that strengthened my data-processing, statistical reasoning, visualization, and technical writing skills in a shared academic workflow.",66,55,58
2022,<Chatbot System Implementation Report>,2022::<Chatbot System Implementation Report>,"[""https://www.hrjlhy.com/new_080725/Artificial Intelligence Chatbot system.pdf""]","A DigitalOcean-hosted chatbot system integrating Python bots, MySQL, Docker, Tableau, GitHub collaboration, Telegram, and Slack, marking an early step from frontend work toward backend deployment.",76,72,68
2022,<Graph Neural Network Implementation Report>,2022::<Graph Neural Network Implementation Report>,"[""https://www.hrjlhy.com/new_080725/Graph Neural Network.pdf""]","A machine-learning implementation report focused on graph neural network concepts, helping build the AI foundation later used in OCR, LLM, and data-rich application work.",78,82,66
2022,English Learning & Evaluation Web App,2022::English Learning & Evaluation Web App,"[""https://www.hrjlhy.com/edu/""]","An educational robot learning web app with content flow, character animation, and evaluation-oriented classroom interactions, built in a professional team while my responsibility extended beyond static frontend pages.",76,64,73
2023,DICOM-Enabled Remote Surgical Assistance Platform,2023::DICOM-Enabled Remote Surgical Assistance Platform,"[""https://www.hrjlhy.com/surgical/""]","A remote surgical assistance platform prototype using DICOM-oriented imaging workflow and WebRTC-style live communication, reflecting my move into real-time web systems within a professional engineering team.",84,70,78
2023,Real-time 3D Cube Demo,2023::Real-time 3D Cube Demo,"[""https://www.hrjlhy.com/3Dcube/""]",A solo real-time 3D cube rendering demo that bridged my GIS background with browser graphics experimentation and prepared me for more advanced WebGPU/WebGL work.,55,100,45
2023,Engagement Ring Configurator System,2023::Engagement Ring Configurator System,"[""https://rauschmayer.com/en/engagement/""]","A customer-facing 3D engagement ring configurator for real-time material, setting, and stone customization, where I handled substantial full-stack delivery from React/WebGi UI to deployment support.",92,91,88
2024,Rea-time Ray tracing Demo,2024::Rea-time Ray tracing Demo,"[""https://www.hrjlhy.com/new_080725/pocketpt_webgpu_wgsl_one_file_070825.html""]","A solo browser graphics demo exploring ray-tracing-style rendering, lighting, and performance-aware visual computation beyond conventional UI development.",80,100,60
2024,"<OCR Accuracy Comparison Report: GPT-4o, Tesseract & Others>","2024::<OCR Accuracy Comparison Report: GPT-4o, Tesseract & Others>","[""https://www.hrjlhy.com/new_080725/OCR Accuracy Report.pdf""]","An OCR evaluation report comparing GPT-4o, Tesseract, EasyOCR, LLaVA, and related methods to support model selection for messy real-world assessment inputs.",84,92,78
2024,Automatic answer grading system,2024::Automatic answer grading system,"[""https://www.hrjlhy.com/grader/""]","A production-minded AI grading platform for HKU that connected OCR, GPT/LLaVA scoring, FastAPI, MongoDB, WebSocket updates, and deployment to process hundreds of submissions weekly.",96,94,93
2025,Tic-tac-toe Game,2025::Tic-tac-toe Game,"[""https://www.hrjlhy.com/ttt/index.html""]","A small solo browser game for practicing turn logic, win detection, UI state updates, and clean interactive feedback with limited technical scope.",32,100,30
2025,Who Is the AI Game,2025::Who Is the AI Game,"[""https://www.hrjlhy.com/WhoIsTheAI/""]","A multiplayer social-deduction game where players identify a hidden GPT-4o-powered AI, built as a solo full-stack project with React Native, Node.js, Socket.IO, and MongoDB.",90,95,84
2025,Personal Portfolio v2.0,2025::Personal Portfolio v2.0,"[""https://www.hrjlhy.com/""]","An interactive second-generation portfolio that turns my career timeline into a data-driven project gallery with animated cards, dashboard metrics, and recruiter-friendly storytelling.",88,100,86
2025,WebGPU-Based 3D GIS Real Estate Dashboard,2025::WebGPU-Based 3D GIS Real Estate Dashboard,"[""https://github.com/hrjlhy123/3D-map/""]","A solo WebGPU-based 3D GIS real-estate dashboard with spatial streaming, H3 partitioning, tessellated building geometry, KPI cards, and GPU-first map interaction.",99,100,96
